INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
192000844,3114,,INVESTIGATE PROPERTY,E13,906,1,2019-01-03 20:10:00,2019,1,Thursday,20,,BICKFORD ST,42.32597056,-71.10134307,"(42.32597056, -71.10134307)"
192004125,3114,,INVESTIGATE PROPERTY,E13,906,1,2019-01-16 00:36:00,2019,1,Wednesday,0,,HEATH ST,42.32638821,-71.10181755,"(42.32638821, -71.10181755)"
192004672,3114,,INVESTIGATE PROPERTY,E13,916,1,2019-01-17 23:56:00,2019,1,Thursday,23,,BICKFORD ST,42.3248329,-71.10164761,"(42.3248329, -71.10164761)"
192004998,3106,,PROPERTY - ACCIDENTAL DAMAGE,E13,577,1,2019-01-19 08:18:00,2019,1,Saturday,8,,WASHINGTON ST,42.31485535,-71.09922413,"(42.31485535, -71.09922413)"
192008498,423,,ASSAULT - AGGRAVATED,E13,307,1,2019-02-01 21:08:00,2019,2,Friday,21,,WESTMINSTER AVE,42.31558601,-71.09399364,"(42.31558601, -71.09399364)"
192008825,3114,,INVESTIGATE PROPERTY,E13, ,1,2019-02-03 05:29:00,2019,2,Sunday,5,,  BSTN MA ,,,
192011952,3114,,INVESTIGATE PROPERTY,E13,307,1,2019-02-15 07:50:00,2019,2,Friday,7,,WALNUT PARK,42.31591894,-71.09691298,"(42.31591894, -71.09691298)"
192012407,3114,,INVESTIGATE PROPERTY,E13,906,1,2019-02-16 19:13:00,2019,2,Saturday,19,,WALDEN ST,42.32561002,-71.1044996,"(42.32561002, -71.1044996)"
192013902,3119,,FIREARM/WEAPON - FOUND OR CONFISCATED,E13,912,1,2019-02-22 22:52:00,2019,2,Friday,22,,PARKER ST,42.32469431,-71.10087905,"(42.32469431, -71.10087905)"
192014977,3114,,INVESTIGATE PROPERTY,E13,579,1,2019-02-26 23:03:00,2019,2,Tuesday,23,,CENTRE ST,42.32291395,-71.10328406,"(42.32291395, -71.10328406)"
192015236,1501,,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",E13,584,1,2019-02-27 21:13:00,2019,2,Wednesday,21,,HEATH ST,42.32624192,-71.10317578,"(42.32624192, -71.10317578)"
192017527,1402,,VANDALISM,E13,584,1,2019-03-08 23:08:00,2019,3,Friday,23,,HEATH ST,42.32610066,-71.10433339,"(42.32610066, -71.10433339)"
192017981,3114,,INVESTIGATE PROPERTY,E13,307,1,2019-03-11 03:39:00,2019,3,Monday,3,,WALNUT PARK,42.31591894,-71.09691298,"(42.31591894, -71.09691298)"
192019875,413,,ASSAULT - AGGRAVATED - BATTERY,E13,307,1,2019-03-17 19:18:00,2019,3,Sunday,19,,WALNUT PARK,42.31451468,-71.09470824,"(42.31451468, -71.09470824)"
192021517,3114,,INVESTIGATE PROPERTY,E13, ,1,2019-03-23 23:24:00,2019,3,Saturday,23,,HEATH ST,,,
192022294,3114,,INVESTIGATE PROPERTY,E13,906,1,2019-03-26 22:54:00,2019,3,Tuesday,22,,HORAN WAY,42.32547525,-71.10253485,"(42.32547525, -71.10253485)"
192022569,3114,,INVESTIGATE PROPERTY,E13,307,1,2019-03-27 19:54:00,2019,3,Wednesday,19,,WASHINGTON ST,42.31698359,-71.09712752,"(42.31698359, -71.09712752)"
192024890,413,,ASSAULT - AGGRAVATED - BATTERY,E13,906,1,2019-04-04 19:08:00,2019,4,Thursday,19,,HORAN WAY,42.32547525,-71.10253485,"(42.32547525, -71.10253485)"
192028415,423,,ASSAULT - AGGRAVATED,E13,583,1,2019-04-17 21:59:00,2019,4,Wednesday,21,,GAY HEAD ST,42.32424819,-71.10525191,"(42.32424819, -71.10525191)"
192029188,3115,,INVESTIGATE PERSON,E13,651,1,2019-04-20 22:15:00,2019,4,Saturday,22,,HALL ST,42.30482863,-71.11338556,"(42.30482863, -71.11338556)"
192033317,3114,,INVESTIGATE PROPERTY,E13, ,1,2019-05-05 23:05:00,2019,5,Sunday,23,,CENTRE ST,42.30925492,-71.11598517,"(42.30925492, -71.11598517)"
192033337,3109,,SERVICE TO OTHER PD INSIDE OF MA.,E13,569,1,2019-05-06 00:03:00,2019,5,Monday,0,,WASHINGTON ST,42.30307402,-71.1108186,"(42.30307402, -71.1108186)"
192036899,1501,,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",E13,906,1,2019-05-17 23:05:00,2019,5,Friday,23,,HEATH ST,42.32624192,-71.10317578,"(42.32624192, -71.10317578)"
192037160,3114,,INVESTIGATE PROPERTY,E13,906,1,2019-05-18 21:32:00,2019,5,Saturday,21,,HEATH ST,42.32624192,-71.10317578,"(42.32624192, -71.10317578)"
192041832,3114,,INVESTIGATE PROPERTY,E13,906,1,2019-06-03 20:16:00,2019,6,Monday,20,,HEATH ST,42.32624192,-71.10317578,"(42.32624192, -71.10317578)"
192044195,413,,ASSAULT - AGGRAVATED - BATTERY,E13,582,1,2019-06-11 10:39:00,2019,6,Tuesday,10,,CENTRE ST,42.32259343,-71.10619646,"(42.32259343, -71.10619646)"
192046078,111,,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,578,1,2019-06-17 21:52:00,2019,6,Monday,21,,BOLSTER ST,42.3219989,-71.10560683,"(42.3219989, -71.10560683)"
192046841,423,,ASSAULT - AGGRAVATED,E13,570,1,2019-06-20 16:01:00,2019,6,Thursday,16,,FOREST HILLS ST,42.30806344,-71.10254492,"(42.30806344, -71.10254492)"
192046945,3114,,INVESTIGATE PROPERTY,E13,578,1,2019-06-20 23:11:00,2019,6,Thursday,23,,CRANSTON ST,42.32117405,-71.10949065,"(42.32117405, -71.10949065)"
192049994,3114,,INVESTIGATE PROPERTY,E13,578,1,2019-06-30 21:27:00,2019,6,Sunday,21,,BOLSTER ST,42.3219989,-71.10560683,"(42.3219989, -71.10560683)"
192059447,413,,ASSAULT - AGGRAVATED - BATTERY,E13,912,1,2019-07-31 20:33:00,2019,7,Wednesday,20,,PARKER ST,42.32469431,-71.10087905,"(42.32469431, -71.10087905)"
192061100,3114,,INVESTIGATE PROPERTY,E13,581,1,2019-08-05 23:20:04,2019,8,Monday,23,,BICKFORD ST,42.3248329,-71.10164761,"(42.3248329, -71.10164761)"
192062423,1402,,VANDALISM,E13,307,1,2019-08-10 01:19:00,2019,8,Saturday,1,,WARDMAN RD,42.3152941,-71.09486037,"(42.3152941, -71.09486037)"
192063261,1504,,WEAPON - OTHER - OTHER VIOLATION,E13,912,1,2019-08-12 23:52:00,2019,8,Monday,23,,CENTRE ST,42.32283747,-71.10096726,"(42.32283747, -71.10096726)"
192065784,3115,,INVESTIGATE PERSON,E13,657,1,2019-08-20 19:56:00,2019,8,Tuesday,19,,CENTRE ST,42.30098878,-71.12708149,"(42.30098878, -71.12708149)"
192066864,1402,,VANDALISM,E13,583,1,2019-08-23 23:13:00,2019,8,Friday,23,,MINDEN ST,42.32512493,-71.10520491,"(42.32512493, -71.10520491)"
192067228,3114,,INVESTIGATE PROPERTY,E13,582,1,2019-08-25 04:07:00,2019,8,Sunday,4,,CENTRE ST,42.32266019,-71.10550492,"(42.32266019, -71.10550492)"
192068826,413,,ASSAULT - AGGRAVATED - BATTERY,E13,912,1,2019-08-29 23:52:00,2019,8,Thursday,23,,CENTRE ST,42.32290241,-71.10220405,"(42.32290241, -71.10220405)"
192068834,413,,ASSAULT - AGGRAVATED - BATTERY,E13,606,1,2019-08-30 01:10:00,2019,8,Friday,1,,S HUNTINGTON AVE,42.3313692,-71.11185119,"(42.3313692, -71.11185119)"
192070127,2662,,BALLISTICS EVIDENCE/FOUND,E13,638,1,2019-09-03 03:06:00,2019,9,Tuesday,3,,CHESTNUT AVE,42.31799714,-71.10611251,"(42.31799714, -71.10611251)"
192071842,3114,,INVESTIGATE PROPERTY,E13,303,1,2019-09-08 04:37:00,2019,9,Sunday,4,,COLUMBUS AVE,42.31614171,-71.09833068,"(42.31614171, -71.09833068)"
192072409,2662,,BALLISTICS EVIDENCE/FOUND,E13,912,1,2019-09-09 23:48:00,2019,9,Monday,23,,HEATH ST,42.32513039,-71.09940818,"(42.32513039, -71.09940818)"
192072627,2660,,OTHER OFFENSE,E13,653,1,2019-09-10 17:41:00,2019,9,Tuesday,17,,CENTRE ST,42.30876873,-71.12237889,"(42.30876873, -71.12237889)"
192081222,3018,,SICK/INJURED/MEDICAL - POLICE,E13, ,1,2019-09-27 22:30:00,2019,9,Friday,22,,WYMAN ST,42.31865102227677,-71.08162344281082,"(42.31865102227677, -71.08162344281082)"
192080029,3018,,SICK/INJURED/MEDICAL - POLICE,E13, ,1,2019-09-28 22:01:00,2019,9,Saturday,22,,WYMAN ST,42.30971856767274,-71.10429431787648,"(42.30971856767274, -71.10429431787648)"
192080031,3018,,SICK/INJURED/MEDICAL - POLICE,E13, ,1,2019-09-28 22:01:00,2019,9,Saturday,22,,WYMAN ST,42.30971856767274,-71.10429431787648,"(42.30971856767274, -71.10429431787648)"
192083280,423,,ASSAULT - AGGRAVATED,E13,577,1,2019-10-14 21:39:00,2019,10,Monday,21,,SCHOOL ST,42.315504751517935,-71.10051478984848,"(42.315504751517935, -71.10051478984848)"
192084566,2662,,BALLISTICS EVIDENCE/FOUND,E13,916,1,2019-10-18 23:41:00,2019,10,Friday,23,,PARKER ST,42.32469442576835,-71.10087901665398,"(42.32469442576835, -71.10087901665398)"
192086707,111,,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,289,1,2019-10-26 03:47:00,2019,10,Saturday,3,,WESTMINSTER AVE,42.31558612644294,-71.0939936090046,"(42.31558612644294, -71.0939936090046)"
192089252,3114,,INVESTIGATE PROPERTY,E13, ,1,2019-11-03 21:28:00,2019,11,Sunday,21,,BROMLEY ST,42.325887037132276,-71.09948916570545,"(42.325887037132276, -71.09948916570545)"
192089257,423,,ASSAULT - AGGRAVATED,E13,916,1,2019-11-03 21:54:00,2019,11,Sunday,21,,BICKFORD ST,42.32483301260949,-71.10164757231014,"(42.32483301260949, -71.10164757231014)"
192096158,1402,,VANDALISM,E13,648,1,2019-11-27 20:50:00,2019,11,Wednesday,20,,"METCALF CT & SOUTH ST
JAMAICA PLAIN  MA 02130
UNIT",42.30552695478773,-71.11470496209503,"(42.30552695478773, -71.11470496209503)"
192104202,1402,,VANDALISM,E13,906,1,2019-12-28 04:11:00,2019,12,Saturday,4,,HEATH ST,42.32624203616944,-71.10317574747674,"(42.32624203616944, -71.10317574747674)"
192105123,3114,,INVESTIGATE PROPERTY,E13,912,1,2019-12-31 23:25:00,2019,12,Tuesday,23,,PARKER ST,42.32469442576835,-71.10087901665398,"(42.32469442576835, -71.10087901665398)"
