INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
232008284,3115,,INVESTIGATE PERSON,E13, ,1,2023-01-31 20:58:00+00,2023,1,Tuesday,20,,"GLEN RD & FOREST HILLS ST
JAMAICA PLAIN  MA 02130
",42.30887458280647,-71.10247265178727,"(42.30887458280647, -71.10247265178727)"
232011172,3114,,INVESTIGATE PROPERTY,E13, ,1,2023-02-10 21:37:00+00,2023,2,Friday,21,,WASHINGTON ST,42.312753383937405,-71.10129739650411,"(42.312753383937405, -71.10129739650411)"
232012658,2662,,BALLISTICS EVIDENCE/FOUND,E13, ,1,2023-02-16 15:08:00+00,2023,2,Thursday,15,,WALNUT AVE,42.31286017300115,-71.09572843064106,"(42.31286017300115, -71.09572843064106)"
232017322,3001,,DEATH INVESTIGATION,E13, ,1,2023-03-04 09:55:00+00,2023,3,Saturday,9,,PARKER ST,42.324694005644446,-71.10087963314848,"(42.324694005644446, -71.10087963314848)"
232018817,423,,ASSAULT - AGGRAVATED,E13, ,1,2023-03-11 09:11:00+00,2023,3,Saturday,9,,CENTRE ST,,,
232027272,111,,"MURDER, NON-NEGLIGENT MANSLAUGHTER",E13, ,1,2023-04-08 22:16:00+00,2023,4,Saturday,22,,COLUMBUS AVE,42.31362756008462,-71.09560370182191,"(42.31362756008462, -71.09560370182191)"
232030712,3119,,FIREARM/WEAPON - FOUND OR CONFISCATED,E13, ,1,2023-04-20 22:52:00+00,2023,4,Thursday,22,,CENTRE ST,42.32287371485583,-71.10155415776067,"(42.32287371485583, -71.10155415776067)"
232039288,3114,,INVESTIGATE PROPERTY,E13, ,1,2023-05-19 23:11:00+00,2023,5,Friday,23,,CENTRE ST,42.32287371485583,-71.10155415776067,"(42.32287371485583, -71.10155415776067)"
232005270,3001,,DEATH INVESTIGATION,E13, ,1,2023-01-20 15:36:00+00,2023,1,Friday,15,,S HUNTINGTON AVE,42.326398036565685,-71.11152689971381,"(42.326398036565685, -71.11152689971381)"
232042488,3114,,INVESTIGATE PROPERTY,E13, ,1,2023-05-30 21:00:00+00,2023,5,Tuesday,21,,HEATH ST,42.326241618918154,-71.10317636567375,"(42.326241618918154, -71.10317636567375)"
232044551,3115,,INVESTIGATE PERSON,E13, ,1,2023-06-06 19:53:00+00,2023,6,Tuesday,19,,WACHUSETT ST,42.29174818445731,-71.11691345177648,"(42.29174818445731, -71.11691345177648)"
232047549,3115,,INVESTIGATE PERSON,E13,307,1,2023-06-17 01:52:00+00,2023,6,Saturday,1,,WALNUT PARK,42.31523693991534,-71.09596556849473,"(42.31523693991534, -71.09596556849473)"
232049547,423,,ASSAULT - AGGRAVATED,E13, ,1,2023-06-24 02:40:00+00,2023,6,Saturday,2,,MINDEN ST,42.325359398227654,-71.10648085791989,"(42.325359398227654, -71.10648085791989)"
232049758,3114,,INVESTIGATE PROPERTY,E13, ,1,2023-06-24 21:43:00+00,2023,6,Saturday,21,,W WALNUT PARK & COLUMBUS AVE,42.316769614371516,-71.09821863817037,"(42.316769614371516, -71.09821863817037)"
232052109,3114,,INVESTIGATE PROPERTY,E13, ,1,2023-07-02 18:33:00+00,2023,7,Sunday,18,,"METCALF CT & SOUTH ST
JAMAICA PLAIN  MA 02130
UNIT",42.30552655612751,-71.11470565262728,"(42.30552655612751, -71.11470565262728)"
232052161,3114,,INVESTIGATE PROPERTY,E13,505,1,2023-07-02 22:08:00+00,2023,7,Sunday,22,,CATHERINE ST,42.288519091481724,-71.11564432198351,"(42.288519091481724, -71.11564432198351)"
232052355,3114,,INVESTIGATE PROPERTY,E13, ,1,2023-07-03 18:00:00+00,2023,7,Monday,18,,CENTRE ST,42.322837167271935,-71.10096784597471,"(42.322837167271935, -71.10096784597471)"
