INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
212000314,301,,ROBBERY,E13,912,1,2021-01-02 13:07:00,2021,1,Saturday,13,,CENTRE ST,42.32283758702995,-71.10096722512631,"(42.32283758702995, -71.10096722512631)"
212000418,2662,,BALLISTICS EVIDENCE/FOUND,E13,579,1,2021-01-02 19:56:00,2021,1,Saturday,19,,"8 CHESTNUT AVE
JAMAICA PLAIN  MA 02130
UNITED STAT",42.322391227566314,-71.101964483715,"(42.322391227566314, -71.101964483715)"
212000416,2662,,BALLISTICS EVIDENCE/FOUND,E13, ,1,2021-01-02 19:56:00,2021,1,Saturday,19,,"S HUNTINGTON AVE & EVERGREEN ST
JAMAICA PLAIN  MA ",42.32456795851249,-71.11229799676434,"(42.32456795851249, -71.11229799676434)"
212000458,3114,,INVESTIGATE PROPERTY,E13,307,1,2021-01-03 00:37:00,2021,1,Sunday,0,,WALNUT PARK,42.3152373654385,-71.09596494189753,"(42.3152373654385, -71.09596494189753)"
212000919,1402,,VANDALISM,E13,583,1,2021-01-05 09:39:00,2021,1,Tuesday,9,,GAY HEAD ST,42.32469169224553,-71.1061892386513,"(42.32469169224553, -71.1061892386513)"
212003073,3114,,INVESTIGATE PROPERTY,E13, ,1,2021-01-14 18:31:00,2021,1,Thursday,18,,LAMARTINE ST & CENTRE ST,42.32281500394458,-71.10057399848051,"(42.32281500394458, -71.10057399848051)"
212008158,423,,ASSAULT - AGGRAVATED,E13,912,1,2021-02-06 22:46:00,2021,2,Saturday,22,,CENTRE ST,42.32283758702995,-71.10096722512631,"(42.32283758702995, -71.10096722512631)"
212009692,423,,ASSAULT - AGGRAVATED,E13,583,1,2021-02-13 19:27:00,2021,2,Saturday,19,,GAY HEAD ST,42.32474094981509,-71.10491849526161,"(42.32474094981509, -71.10491849526161)"
212010125,423,,ASSAULT - AGGRAVATED,E13,912,1,2021-02-15 20:44:00,2021,2,Monday,20,,PARKER ST,42.32469442576835,-71.10087901665398,"(42.32469442576835, -71.10087901665398)"
212011207,3114,,INVESTIGATE PROPERTY,E13,572,1,2021-02-20 18:34:00,2021,2,Saturday,18,,WASHINGTON ST,42.314855461634,-71.0992240984253,"(42.314855461634, -71.0992240984253)"
