INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
202021861,3114,,INVESTIGATE PROPERTY,C11,357,1,2020-03-21 00:41:00,2020,3,Saturday,0,,WASHINGTON ST,42.2974533941774,-71.0725342496612,"(42.2974533941774, -71.0725342496612)"
202022237,423,,ASSAULT - AGGRAVATED,C11,462,1,2020-03-22 18:07:00,2020,3,Sunday,18,,WASHINGTON ST,42.2952485674124,-71.0710877302732,"(42.2952485674124, -71.0710877302732)"
202022697,423,,ASSAULT - AGGRAVATED,C11,403,1,2020-03-24 17:33:00,2020,3,Tuesday,17,,MERCIER AVE,42.2827969618196,-71.0660588058263,"(42.2827969618196, -71.0660588058263)"
202023213,3114,,INVESTIGATE PROPERTY,C11,355,1,2020-03-27 01:41:00,2020,3,Friday,1,,DORCHESTER AVE,42.2966620162352,-71.0612183646022,"(42.2966620162352, -71.0612183646022)"
202023411,3114,,INVESTIGATE PROPERTY,C11, ,1,2020-03-27 23:30:00,2020,3,Friday,23,,CENTRE ST,42.2919662380276,-71.0658041120121,"(42.2919662380276, -71.0658041120121)"
202023542,3018,,SICK/INJURED/MEDICAL - POLICE,C11,344,1,2020-03-28 14:00:00,2020,3,Saturday,14,,WESTVILLE ST,42.300445049272,-71.0695855219315,"(42.300445049272, -71.0695855219315)"
202023605,3114,,INVESTIGATE PROPERTY,C11,823,1,2020-03-28 22:59:00,2020,3,Saturday,22,,"PLEASANT ST & THORNLEY ST
DORCHESTER  MA 02125
UNI",42.3143949641505,-71.0600159626177,"(42.3143949641505, -71.0600159626177)"
202023602,3114,,INVESTIGATE PROPERTY,C11, ,1,2020-03-28 23:00:00,2020,3,Saturday,23,,"TREADWAY RD
BOSTON  MA 02125
UNITED STATES",42.3132330556661,-71.0581301101671,"(42.3132330556661, -71.0581301101671)"
202024207,3114,,INVESTIGATE PROPERTY,C11,344,1,2020-03-31 20:42:00,2020,3,Tuesday,20,,LOUIS D BROWN WAY,42.3009331260919,-71.0693463755203,"(42.3009331260919, -71.0693463755203)"
202025078,3114,,INVESTIGATE PROPERTY,C11,361,1,2020-04-04 22:11:00,2020,4,Saturday,22,,CENTRE ST,42.2921432709689,-71.0652277786118,"(42.2921432709689, -71.0652277786118)"
