INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
212000040,3114,,INVESTIGATE PROPERTY,C11,334,1,2021-01-01 03:28:00,2021,1,Friday,3,,WARE ST,42.31153822707624,-71.06623272344638,"(42.31153822707624, -71.06623272344638)"
212000050,2662,,BALLISTICS EVIDENCE/FOUND,C11,336,1,2021-01-01 05:11:00,2021,1,Friday,5,,COLUMBIA RD,42.3096916863878,-71.07285868191235,"(42.3096916863878, -71.07285868191235)"
212000254,2662,,BALLISTICS EVIDENCE/FOUND,C11,341,1,2021-01-02 03:32:00,2021,1,Saturday,3,,BOWDOIN ST,42.305044714488474,-71.06857870501278,"(42.305044714488474, -71.06857870501278)"
212000874,3114,,INVESTIGATE PROPERTY,C11, ,1,2021-01-05 00:41:00,2021,1,Tuesday,0,,WASHINGTON ST,42.29257647915883,-71.0717940591183,"(42.29257647915883, -71.0717940591183)"
212001297,3114,,INVESTIGATE PROPERTY,C11,460,1,2021-01-06 22:23:00,2021,1,Wednesday,22,,WASHINGTON ST,42.303565389046256,-71.07868147849383,"(42.303565389046256, -71.07868147849383)"
212003106,423,,ASSAULT - AGGRAVATED,C11,337,1,2021-01-14 21:13:00,2021,1,Thursday,21,,EVERTON ST,42.30481467341083,-71.07218294955823,"(42.30481467341083, -71.07218294955823)"
212003407,3114,,INVESTIGATE PROPERTY,C11,459,1,2021-01-16 04:46:00,2021,1,Saturday,4,,WASHINGTON ST,42.30422175471675,-71.0791845947074,"(42.30422175471675, -71.0791845947074)"
212004167,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,C11,340,1,2021-01-19 22:22:00,2021,1,Tuesday,22,,"DRAPER ST & HOMES AVE
DORCHESTER  MA 02122
UNITED ",42.304022031900246,-71.06459203438673,"(42.304022031900246, -71.06459203438673)"
212005526,3114,,INVESTIGATE PROPERTY,C11,450,1,2021-01-26 10:58:00,2021,1,Tuesday,10,,WASHINGTON ST,42.292129740490964,-71.07175745693645,"(42.292129740490964, -71.07175745693645)"
212006522,3114,,INVESTIGATE PROPERTY,C11,335,1,2021-01-30 18:55:00,2021,1,Saturday,18,,BARRY ST,42.30870400722327,-71.06844484190216,"(42.30870400722327, -71.06844484190216)"
212006759,2662,,BALLISTICS EVIDENCE/FOUND,C11,393,1,2021-02-01 00:45:00,2021,2,Monday,0,,DRACUT ST,42.287418378757394,-71.06190779896777,"(42.287418378757394, -71.06190779896777)"
212008633,2662,,BALLISTICS EVIDENCE/FOUND,C11,402,1,2021-02-09 11:01:00,2021,2,Tuesday,11,,WASHINGTON ST,42.282778945493234,-71.07135524656212,"(42.282778945493234, -71.07135524656212)"
212008990,3114,,INVESTIGATE PROPERTY,C11,336,1,2021-02-10 19:40:00,2021,2,Wednesday,19,,NORTON ST,42.30626520705709,-71.06864555635512,"(42.30626520705709, -71.06864555635512)"
212009463,3114,,INVESTIGATE PROPERTY,C11,368,1,2021-02-12 20:59:00,2021,2,Friday,20,,TRAIN ST,42.29455097727429,-71.05498079745618,"(42.29455097727429, -71.05498079745618)"
212009891,3114,,INVESTIGATE PROPERTY,C11, ,1,2021-02-14 18:17:00,2021,2,Sunday,18,,JEROME ST,42.31482240700659,-71.06524171567999,"(42.31482240700659, -71.06524171567999)"
212010141,1402,,VANDALISM,C11,257,1,2021-02-15 22:00:00,2021,2,Monday,22,,DEWOLF ST,42.31077760367793,-71.06060552478334,"(42.31077760367793, -71.06060552478334)"
212011292,2662,,BALLISTICS EVIDENCE/FOUND,C11,335,1,2021-02-21 02:48:00,2021,2,Sunday,2,,HAMILTON ST,42.30770884723847,-71.0690187434642,"(42.30770884723847, -71.0690187434642)"
212011288,3114,,INVESTIGATE PROPERTY,C11,345,1,2021-02-21 02:52:00,2021,2,Sunday,2,,"DRAPER ST & ROBINSON ST
DORCHESTER  MA 02122
UNITE",42.30234803452672,-71.06369600438325,"(42.30234803452672, -71.06369600438325)"
212011679,3114,,INVESTIGATE PROPERTY,C11,354,1,2021-02-22 21:02:00,2021,2,Monday,21,,CHRISTOPHER ST,42.29896222968662,-71.05704419567013,"(42.29896222968662, -71.05704419567013)"
212014051,423,,ASSAULT - AGGRAVATED,C11,355,1,2021-03-04 21:29:00,2021,3,Thursday,21,,DORCHESTER AVE,42.285260240740975,-71.06444063187841,"(42.285260240740975, -71.06444063187841)"
212014501,3114,,INVESTIGATE PROPERTY,C11,336,1,2021-03-06 23:34:00,2021,3,Saturday,23,,HAMILTON ST,42.30876797911193,-71.07046719771598,"(42.30876797911193, -71.07046719771598)"
212015979,3114,,INVESTIGATE PROPERTY,C11,462,1,2021-03-12 23:02:00,2021,3,Friday,23,,MALLON RD,42.30278360572588,-71.07412303736824,"(42.30278360572588, -71.07412303736824)"
212017323,3114,,INVESTIGATE PROPERTY,C11,461,1,2021-03-18 15:17:00,2021,3,Thursday,15,,BOWDOIN AVE,,,
