INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
192000011,3114,,INVESTIGATE PROPERTY,C11,345,1,2019-01-01 00:30:00,2019,1,Tuesday,0,,LONGFELLOW ST,42.30269786,-71.06601484,"(42.30269786, -71.06601484)"
192000560,3114,,INVESTIGATE PROPERTY,C11,245,1,2019-01-02 22:15:00,2019,1,Wednesday,22,,SYDNEY ST,42.31810456,-71.05258008,"(42.31810456, -71.05258008)"
192001459,3114,,INVESTIGATE PROPERTY,C11,336,1,2019-01-06 03:16:00,2019,1,Sunday,3,,EUNICE ST,42.30473813,-71.07025782,"(42.30473813, -71.07025782)"
192003016,413,,ASSAULT - AGGRAVATED - BATTERY,C11,344,1,2019-01-11 19:31:00,2019,1,Friday,19,,CORONA ST,42.30146187,-71.06895964,"(42.30146187, -71.06895964)"
192003087,2662,,BALLISTICS EVIDENCE/FOUND,C11,362,1,2019-01-12 02:31:00,2019,1,Saturday,2,,MOULTRIE ST,42.29128483,-71.07033894,"(42.29128483, -71.07033894)"
192005346,3115,,INVESTIGATE PERSON,C11,235,1,2019-01-20 22:04:00,2019,1,Sunday,22,,CRESCENT AVE,42.31894113,-71.05483553,"(42.31894113, -71.05483553)"
192008538,413,,ASSAULT - AGGRAVATED - BATTERY,C11,336,1,2019-02-02 01:40:00,2019,2,Saturday,1,,BARRY ST,42.30775042,-71.06971434,"(42.30775042, -71.06971434)"
192010441,413,,ASSAULT - AGGRAVATED - BATTERY,C11,345,1,2019-02-09 00:09:00,2019,2,Saturday,0,,LONGFELLOW ST,42.30269786,-71.06601484,"(42.30269786, -71.06601484)"
192010927,3114,,INVESTIGATE PROPERTY,C11,337,1,2019-02-11 07:28:00,2019,2,Monday,7,,GENEVA AVE,42.30371218,-71.07180727,"(42.30371218, -71.07180727)"
192011159,3114,,INVESTIGATE PROPERTY,C11,339,1,2019-02-11 22:51:00,2019,2,Monday,22,,CHURCH ST,42.30811613,-71.05961133,"(42.30811613, -71.05961133)"
192011167,3114,,INVESTIGATE PROPERTY,C11,461,1,2019-02-12 01:21:00,2019,2,Tuesday,1,,WASHINGTON ST,42.30144703,-71.07681352,"(42.30144703, -71.07681352)"
192012410,413,,ASSAULT - AGGRAVATED - BATTERY,C11,352,1,2019-02-16 19:31:00,2019,2,Saturday,19,,LEROY ST,42.30095477,-71.06537605,"(42.30095477, -71.06537605)"
192014708,3006,,SICK/INJURED/MEDICAL - PERSON,C11,257,1,2019-02-26 01:26:56,2019,2,Tuesday,1,,MOUNT CUSHING TER,42.31579369,-71.06370874,"(42.31579369, -71.06370874)"
192016171,2662,,BALLISTICS EVIDENCE/FOUND,C11,358,1,2019-03-03 19:18:00,2019,3,Sunday,19,,LARCHMONT ST,42.29703356,-71.06860666,"(42.29703356, -71.06860666)"
192017117,3016,,FIREARM/WEAPON - ACCIDENTAL INJURY / DEATH,C11, ,1,2019-03-07 14:14:00,2019,3,Thursday,14,,   MA ,,,
192017263,3114,,INVESTIGATE PROPERTY,C11,340,1,2019-03-08 00:01:00,2019,3,Friday,0,,MOUNT IDA RD,42.30629079,-71.065125,"(42.30629079, -71.065125)"
192017563,3114,,INVESTIGATE PROPERTY,C11,357,1,2019-03-09 04:09:00,2019,3,Saturday,4,,GREENBRIER ST,42.29937494,-71.07194618,"(42.29937494, -71.07194618)"
192018520,3114,,INVESTIGATE PROPERTY,C11,332,1,2019-03-12 22:58:00,2019,3,Tuesday,22,,COLUMBIA RD,42.31363398,-71.06778029,"(42.31363398, -71.06778029)"
192019042,3114,,INVESTIGATE PROPERTY,C11,358,1,2019-03-14 19:10:00,2019,3,Thursday,19,,PARK ST,42.29641927,-71.0686462,"(42.29641927, -71.0686462)"
192019011,413,,ASSAULT - AGGRAVATED - BATTERY,C11,355,1,2019-03-16 10:30:00,2019,3,Saturday,10,,GIBSON ST,42.29755522,-71.05970914,"(42.29755522, -71.05970914)"
192019821,413,,ASSAULT - AGGRAVATED - BATTERY,C11,461,1,2019-03-17 16:15:00,2019,3,Sunday,16,,BOWDOIN AVE,42.30090958,-71.07425847,"(42.30090958, -71.07425847)"
192020220,3114,,INVESTIGATE PROPERTY,C11,340,1,2019-03-18 20:36:00,2019,3,Monday,20,,DRAPER ST,42.30540704,-71.06547139,"(42.30540704, -71.06547139)"
192020870,413,,ASSAULT - AGGRAVATED - BATTERY,C11,357,1,2019-03-21 11:38:00,2019,3,Thursday,11,,CLAYBOURNE ST,42.29808981,-71.0717867,"(42.29808981, -71.0717867)"
192021764,2662,,BALLISTICS EVIDENCE/FOUND,C11,347,1,2019-03-24 23:50:00,2019,3,Sunday,23,,ADAMS ST,42.30497354,-71.06134416,"(42.30497354, -71.06134416)"
192022042,3114,,INVESTIGATE PROPERTY,C11,347,1,2019-03-25 21:50:00,2019,3,Monday,21,,LINDEN ST,42.30570811,-71.06015455,"(42.30570811, -71.06015455)"
192022451,423,,ASSAULT - AGGRAVATED,C11,460,1,2019-03-27 14:30:00,2019,3,Wednesday,14,,FENELON ST,42.30349816,-71.07937541,"(42.30349816, -71.07937541)"
192023220,3114,,INVESTIGATE PROPERTY,C11,462,1,2019-03-29 20:39:00,2019,3,Friday,20,,ROSSETER ST,42.30116112,-71.07284283,"(42.30116112, -71.07284283)"
192023640,3114,,INVESTIGATE PROPERTY,C11,342,1,2019-03-31 08:20:00,2019,3,Sunday,8,,BOWDOIN ST,42.30369659,-71.07104901,"(42.30369659, -71.07104901)"
192025914,3114,,INVESTIGATE PROPERTY,C11,358,1,2019-04-08 16:44:00,2019,4,Monday,16,,VINSON ST,42.29798774,-71.06506651,"(42.29798774, -71.06506651)"
192026014,2662,,BALLISTICS EVIDENCE/FOUND,C11,461,1,2019-04-09 01:04:00,2019,4,Tuesday,1,,BOWDOIN AVE,42.30175971,-71.07555181,"(42.30175971, -71.07555181)"
192026300,3115,,INVESTIGATE PERSON,C11,336,1,2019-04-10 00:54:44,2019,4,Wednesday,0,,HAMILTON ST,42.30770874,-71.06901878,"(42.30770874, -71.06901878)"
