INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
232006821,423,,ASSAULT - AGGRAVATED,C11, ,1,2023-01-26 17:41:00+00,2023,1,Thursday,17,,DORCHESTER AVE,42.293287837248386,-71.06219557161619,"(42.293287837248386, -71.06219557161619)"
232007168,3114,,INVESTIGATE PROPERTY,C11, ,1,2023-01-27 22:51:00+00,2023,1,Friday,22,,WESTVILLE TER,42.30097963183259,-71.06869987209276,"(42.30097963183259, -71.06869987209276)"
232007711,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2023-01-29 22:09:00+00,2023,1,Sunday,22,,ELDON ST,42.30376709338201,-71.07737116039553,"(42.30376709338201, -71.07737116039553)"
232007720,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2023-01-29 22:35:00+00,2023,1,Sunday,22,,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
232008131,3114,,INVESTIGATE PROPERTY,C11,403,1,2023-01-31 10:47:00+00,2023,1,Tuesday,10,,MERCIER AVE,42.2827964986024,-71.06605943752903,"(42.2827964986024, -71.06605943752903)"
232005396,1402,,VANDALISM,C11, ,1,2023-01-21 06:36:00+00,2023,1,Saturday,6,,BARRY ST,42.3087035450007,-71.06844542114077,"(42.3087035450007, -71.06844542114077)"
232014078,111,,"MURDER, NON-NEGLIGENT MANSLAUGHTER",C11, ,1,2023-02-21 19:36:00+00,2023,2,Tuesday,19,,WILROSE ST,42.306995721085954,-71.07230423744014,"(42.306995721085954, -71.07230423744014)"
232015397,3114,,INVESTIGATE PROPERTY,C11,349,1,2023-02-27 03:30:00+00,2023,2,Monday,3,,DORCHESTER AVE,42.30254191387178,-71.05956747421165,"(42.30254191387178, -71.05956747421165)"
232016477,3001,,DEATH INVESTIGATION,C11, ,1,2023-03-02 14:48:00+00,2023,3,Thursday,14,,DOWNER AVE,42.312247797985556,-71.06239985146235,"(42.312247797985556, -71.06239985146235)"
232016562,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2023-03-02 20:59:00+00,2023,3,Thursday,20,,WESTVILLE ST,42.30188384553023,-71.06389192228292,"(42.30188384553023, -71.06389192228292)"
232016862,3114,,INVESTIGATE PROPERTY,C11, ,1,2023-03-04 00:45:00+00,2023,3,Saturday,0,,ROSEMONT ST,42.29294207527749,-71.05512469390848,"(42.29294207527749, -71.05512469390848)"
232017149,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2023-03-05 04:41:00+00,2023,3,Sunday,4,,COLUMBIA RD,42.309691230089065,-71.07285926888478,"(42.309691230089065, -71.07285926888478)"
232002590,3114,,INVESTIGATE PROPERTY,C11, ,1,2023-01-10 19:40:00+00,2023,1,Tuesday,19,,"MINOT ST & STOCK ST
DORCHESTER  MA 02122
UNITED ST",42.285063511819345,-71.04944057107858,"(42.285063511819345, -71.04944057107858)"
232018166,3114,,INVESTIGATE PROPERTY,C11, ,1,2023-03-08 21:01:00+00,2023,3,Wednesday,21,,WAINWRIGHT ST,42.29039521059351,-71.067053694285,"(42.29039521059351, -71.067053694285)"
232019240,3114,,INVESTIGATE PROPERTY,C11, ,1,2023-03-13 02:27:00+00,2023,3,Monday,2,,FERNALD TER,,,
232019498,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,C11, ,1,2023-03-14 00:15:00+00,2023,3,Tuesday,0,,HAMILTON ST,,,
232001561,3114,,INVESTIGATE PROPERTY,C11, ,1,2023-01-06 21:06:00+00,2023,1,Friday,21,,GRAMPIAN WAY,42.30949371783841,-71.04954567593184,"(42.30949371783841, -71.04954567593184)"
232022790,423,,ASSAULT - AGGRAVATED,C11, ,1,2023-03-24 21:31:00+00,2023,3,Friday,21,,DRAPER ST,42.30540668201442,-71.06547193143143,"(42.30540668201442, -71.06547193143143)"
232025402,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2023-04-02 12:15:00+00,2023,4,Sunday,12,,PURITAN AVE,42.3064678334762,-71.07225205100052,"(42.3064678334762, -71.07225205100052)"
232025490,3114,,INVESTIGATE PROPERTY,C11, ,1,2023-04-02 19:33:00+00,2023,4,Sunday,19,,RONALD ST,42.304750135895816,-71.07838420878772,"(42.304750135895816, -71.07838420878772)"
232026101,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2023-04-04 22:00:00+00,2023,4,Tuesday,22,,LONGFELLOW ST,42.30269750710874,-71.06601538707159,"(42.30269750710874, -71.06601538707159)"
232027489,3114,,INVESTIGATE PROPERTY,C11, ,1,2023-04-09 23:07:00+00,2023,4,Sunday,23,,BOWDOIN ST,42.30647979580683,-71.06675841118754,"(42.30647979580683, -71.06675841118754)"
