INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
222000014,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2022-01-01 01:08:00,2022,1,Saturday,1,,STOCKTON ST,42.28265603684103,-71.07374541091508,"(42.28265603684103, -71.07374541091508)"
222000072,3114,,INVESTIGATE PROPERTY,C11, ,1,2022-01-01 05:02:00,2022,1,Saturday,5,,BULLARD ST,42.301758527161574,-71.07462979750593,"(42.301758527161574, -71.07462979750593)"
222000342,111,,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,450,1,2022-01-02 18:25:00,2022,1,Sunday,18,,WASHINGTON ST,42.29257647915883,-71.0717940591183,"(42.29257647915883, -71.0717940591183)"
222001687,3114,,INVESTIGATE PROPERTY,C11, ,1,2022-01-09 02:19:00,2022,1,Sunday,2,,PARK ST,42.29786606203645,-71.06332517132257,"(42.29786606203645, -71.06332517132257)"
222001786,2662,,BALLISTICS EVIDENCE/FOUND,C11,336,1,2022-01-09 16:56:00,2022,1,Sunday,16,,CLARKSON ST,42.30700176280272,-71.06933556451962,"(42.30700176280272, -71.06933556451962)"
222002091,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2022-01-11 01:28:00,2022,1,Tuesday,1,,OLNEY ST,42.30554440134725,-71.07176554398326,"(42.30554440134725, -71.07176554398326)"
222003086,423,,ASSAULT - AGGRAVATED,C11, ,1,2022-01-14 22:29:00,2022,1,Friday,22,,CENTRE ST,42.29176925795394,-71.06645219530192,"(42.29176925795394, -71.06645219530192)"
222004768,3114,,INVESTIGATE PROPERTY,C11, ,1,2022-01-21 22:06:00,2022,1,Friday,22,,"ADAMS ST & CENTRE ST
BOSTON  MA 02122
UNITED STATE",42.29516001988366,-71.0562199613459,"(42.29516001988366, -71.0562199613459)"
222005260,3114,,INVESTIGATE PROPERTY,C11, ,1,2022-01-23 22:32:00,2022,1,Sunday,22,,BULLARD ST,42.30218779795016,-71.07365003736103,"(42.30218779795016, -71.07365003736103)"
222005757,423,,ASSAULT - AGGRAVATED,C11, ,1,2022-01-25 19:40:00,2022,1,Tuesday,19,,DORCHESTER AVE,42.2843981982829,-71.06468373288614,"(42.2843981982829, -71.06468373288614)"
222006025,3119,,FIREARM/WEAPON - FOUND OR CONFISCATED,C11, ,1,2022-01-26 20:26:00,2022,1,Wednesday,20,,HARTLAND ST,42.31508091425046,-71.0528131941847,"(42.31508091425046, -71.0528131941847)"
222009557,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,C11, ,1,2022-02-09 19:42:00,2022,2,Wednesday,19,,"WASHINGTON ST & DUNLAP RD
BOSTON  MA 02124
UNITED ",42.29320996763664,-71.0718799398193,"(42.29320996763664, -71.0718799398193)"
222010161,1402,,VANDALISM,C11,355,1,2022-02-11 19:12:00,2022,2,Friday,19,,GIBSON ST,42.29755532959655,-71.05970910242573,"(42.29755532959655, -71.05970910242573)"
222013538,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2022-02-25 05:25:00,2022,2,Friday,5,,COLUMBIA RD,42.31069804319816,-71.07119068034005,"(42.31069804319816, -71.07119068034005)"
222013877,3114,,INVESTIGATE PROPERTY,C11, ,1,2022-02-26 19:45:00,2022,2,Saturday,19,,GENEVA AVE,42.298488661543864,-71.06313294177963,"(42.298488661543864, -71.06313294177963)"
222013916,423,,ASSAULT - AGGRAVATED,C11, ,1,2022-02-26 22:43:00,2022,2,Saturday,22,,HANCOCK ST,42.31319381990397,-71.0650083285478,"(42.31319381990397, -71.0650083285478)"
222014668,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2022-03-02 01:19:00,2022,3,Wednesday,1,,STOUGHTON ST,42.31661749735653,-71.0640782725732,"(42.31661749735653, -71.0640782725732)"
222015689,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2022-03-05 20:04:00,2022,3,Saturday,20,,ELDON ST,42.30376754292913,-71.07737055002708,"(42.30376754292913, -71.07737055002708)"
222016084,1402,,VANDALISM,C11, ,1,2022-03-07 14:13:00,2022,3,Monday,14,,DRAPER ST,42.30540714800679,-71.06547135152914,"(42.30540714800679, -71.06547135152914)"
222016366,423,,ASSAULT - AGGRAVATED,C11, ,1,2022-03-08 15:42:00,2022,3,Tuesday,15,,"BELLEVUE ST & HAMILTON ST
DORCHESTER  MA 02125
UNI",42.30834896469544,-71.06989899920399,"(42.30834896469544, -71.06989899920399)"
222016718,423,,ASSAULT - AGGRAVATED,C11, ,1,2022-03-09 22:57:00,2022,3,Wednesday,22,,DORCHESTER AVE,42.27839920113053,-71.06636305093119,"(42.27839920113053, -71.06636305093119)"
222018945,1402,,VANDALISM,C11, ,1,2022-03-18 13:36:00,2022,3,Friday,13,,GENEVA AVE,42.30461250991525,-71.07296566447253,"(42.30461250991525, -71.07296566447253)"
222019112,423,,ASSAULT - AGGRAVATED,C11, ,1,2022-03-19 00:03:00,2022,3,Saturday,0,,GENEVA AVE,42.30461250991525,-71.07296566447253,"(42.30461250991525, -71.07296566447253)"
222020666,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2022-03-24 20:41:00,2022,3,Thursday,20,,STANLEY ST,42.30942584581252,-71.06956549028966,"(42.30942584581252, -71.06956549028966)"
