INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I152059883,03001,Medical Assistance,DEATH INVESTIGATION,E5,941,Y,2015-07-20 10:35:00,2015,7,Monday,10,Part Three,BROOKWAY RD,42.29396688,-71.11893964,"(42.29396688, -71.11893964)"
I152059883,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E5,941,Y,2015-07-20 10:35:00,2015,7,Monday,10,Part One,BROOKWAY RD,42.29396688,-71.11893964,"(42.29396688, -71.11893964)"
I152068848,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E5,722,Y,2015-08-19 21:30:00,2015,8,Wednesday,21,Part One,BAKER ST,42.27579337,-71.167152,"(42.27579337, -71.16715200)"
I152068848,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E5,722,Y,2015-08-19 21:30:00,2015,8,Wednesday,21,Part One,BAKER ST,42.27579337,-71.167152,"(42.27579337, -71.16715200)"
I152068848,03125,Warrant Arrests,WARRANT ARREST,E5,722,Y,2015-08-19 21:30:00,2015,8,Wednesday,21,Part Three,BAKER ST,42.27579337,-71.167152,"(42.27579337, -71.16715200)"
I152075954,01874,Drug Violation,DRUGS - OTHER,E5,560,Y,2015-09-12 22:27:00,2015,9,Saturday,22,Part Two,KITTREDGE ST,42.28474254,-71.12953347,"(42.28474254, -71.12953347)"
I152075954,03207,Property Found,PROPERTY - FOUND,E5,560,Y,2015-09-12 22:27:00,2015,9,Saturday,22,Part Three,KITTREDGE ST,42.28474254,-71.12953347,"(42.28474254, -71.12953347)"
I152075954,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E5,560,Y,2015-09-12 22:27:00,2015,9,Saturday,22,Part One,KITTREDGE ST,42.28474254,-71.12953347,"(42.28474254, -71.12953347)"
I152085312,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E5,550,Y,2015-10-14 02:19:00,2015,10,Wednesday,2,Part One,WASHINGTON ST,42.27625767,-71.13939536,"(42.27625767, -71.13939536)"
I152085312,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E5,550,Y,2015-10-14 02:19:00,2015,10,Wednesday,2,Part One,WASHINGTON ST,42.27625767,-71.13939536,"(42.27625767, -71.13939536)"
I152085312,01510,Firearm Violations,WEAPON - FIREARM - OTHER VIOLATION,E5,550,Y,2015-10-14 02:19:00,2015,10,Wednesday,2,Part Two,WASHINGTON ST,42.27625767,-71.13939536,"(42.27625767, -71.13939536)"
