INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
202001250,1402,,VANDALISM,E5,561,1,2020-01-05 19:56:00,2020,1,Sunday,19,,BROWN AVE,42.28522971396,-71.1203724190441,"(42.28522971396, -71.1203724190441)"
202003937,423,,ASSAULT - AGGRAVATED,E5,560,1,2020-01-15 13:58:00,2020,1,Wednesday,13,,KITTREDGE ST,42.2840287047452,-71.1293171365699,"(42.2840287047452, -71.1293171365699)"
202022968,2662,,BALLISTICS EVIDENCE/FOUND,E5,563,1,2020-03-25 18:01:00,2020,3,Wednesday,18,,FLORENCE ST,42.2875684675283,-71.1228155106101,"(42.2875684675283, -71.1228155106101)"
202024228,3114,,INVESTIGATE PROPERTY,E5,941,1,2020-03-31 22:28:00,2020,3,Tuesday,22,,BROOKWAY RD,42.292556174253,-71.1197422502298,"(42.292556174253, -71.1197422502298)"
202034940,423,,ASSAULT - AGGRAVATED,E5, ,1,2020-05-20 22:29:00,2020,5,Wednesday,22,,"BLUE LEDGE DR & WASHINGTON ST
ROSLINDALE  MA 02131",42.2768809856226,-71.1386570176384,"(42.2768809856226, -71.1386570176384)"
202034950,3114,,INVESTIGATE PROPERTY,E5,660,1,2020-05-20 23:26:00,2020,5,Wednesday,23,,PRESIDENT RD,42.2944216976314,-71.1386160160184,"(42.2944216976314, -71.1386160160184)"
202035230,3115,,INVESTIGATE PERSON,E5, ,1,2020-05-22 02:35:00,2020,5,Friday,2,,BROOKWAY RD,42.2939668819817,-71.1189396425342,"(42.2939668819817, -71.1189396425342)"
202041686,3115,,INVESTIGATE PERSON,E5,668,1,2020-06-15 00:54:00,2020,6,Monday,0,,KITTREDGE ST,42.277700482734,-71.1337725450554,"(42.277700482734, -71.1337725450554)"
202041944,423,,ASSAULT - AGGRAVATED,E5,910,1,2020-06-15 22:02:00,2020,6,Monday,22,,MERCEDES VW,42.2775311740076,-71.1366718763986,"(42.2775311740076, -71.1366718763986)"
202042810,3114,,INVESTIGATE PROPERTY,E5,910,1,2020-06-19 05:00:00,2020,6,Friday,5,,BEECHLAND CIR,42.276248137738,-71.1364683746908,"(42.276248137738, -71.1364683746908)"
202054381,423,,ASSAULT - AGGRAVATED,E5, ,1,2020-07-31 19:40:00,2020,7,Friday,19,,WASHINGTON ST,42.2762576700858,-71.1393953554017,"(42.2762576700858, -71.1393953554017)"
202063915,3115,,INVESTIGATE PERSON,E5,679,1,2020-09-03 05:44:00,2020,9,Thursday,5,,"BIRCH ST & CORINTH ST
ROSLINDALE  MA 02131
UNITED ",42.2865670144317,-71.1303810227764,"(42.2865670144317, -71.1303810227764)"
202065637,3114,,INVESTIGATE PROPERTY,E5, ,1,2020-09-09 04:30:00,2020,9,Wednesday,4,,"BAKER ST & RUMFORD RD
BOSTON  MA 02132
UNITED STAT",42.2824250170095,-71.1691249491798,"(42.2824250170095, -71.1691249491798)"
202069241,423,,ASSAULT - AGGRAVATED,E5,910,1,2020-09-21 20:08:00,2020,9,Monday,20,,"WASHINGTON ST & HAYDN ST
ROSLINDALE  MA 02131
UNIT",42.2773009644743,-71.1381670268338,"(42.2773009644743, -71.1381670268338)"
202071598,423,,ASSAULT - AGGRAVATED,E5,822,1,2020-09-29 22:59:00,2020,9,Tuesday,22,,GEORGETOWNE DR,42.2594346524827,-71.1479806361386,"(42.2594346524827, -71.1479806361386)"
202072972,423,,ASSAULT - AGGRAVATED,E5,556,1,2020-10-04 20:22:00,2020,10,Sunday,20,,"ROWE ST & SEYMOUR ST
ROSLINDALE  MA 02131
UNITED S",42.2792620307366,-71.1208159550005,"(42.2792620307366, -71.1208159550005)"
202078378,1402,,VANDALISM,E5,910,1,2020-10-23 18:36:00,2020,10,Friday,18,,"BEECHLAND CIR & BERAM AVE
ROSLINDALE  MA 02131
UNI",42.2767740213938,-71.1364860174011,"(42.2767740213938, -71.1364860174011)"
202079121,1402,,VANDALISM,E5,664,1,2020-10-26 13:45:00,2020,10,Monday,13,,ARCHDALE RD,42.2926731782789,-71.1232931129253,"(42.2926731782789, -71.1232931129253)"
202086531,2662,,BALLISTICS EVIDENCE/FOUND,E5,691,1,2020-11-22 15:30:00,2020,11,Sunday,15,,BELGRADE AVE,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
202090460,3114,,INVESTIGATE PROPERTY,E5,356,1,2020-12-09 19:59:00,2020,12,Wednesday,19,,PARK ST,42.2980374920996,-71.0626538999643,"(42.2980374920996, -71.0626538999643)"
202090490,3114,,INVESTIGATE PROPERTY,E5,561,1,2020-12-09 21:07:00,2020,12,Wednesday,21,,ROWE ST,42.2833604784056,-71.1204241661756,"(42.2833604784056, -71.1204241661756)"
202093583,423,,ASSAULT - AGGRAVATED,E5,289,1,2020-12-22 18:38:00,2020,12,Tuesday,18,,ALDRICH ST,42.2856579463984,-71.1397804156846,"(42.2856579463984, -71.1397804156846)"
